Product Name,Official Price,Weight/Unit,Offer Price,Currency,Date,From
Ginger,19.95,1 kg Pack,14.95,SR,2024-08-19,https://www.sharbatly.club
"Kiwifruits, Green",,1 kg Pack,19.95,SR,2024-08-19,https://www.sharbatly.club
Lemons,,1 kg Bag,7.95,SR,2024-08-19,https://www.sharbatly.club
"Broccoli, green",,2 heads Pack,22.50,SR,2024-08-19,https://www.sharbatly.club
"Lettuce, Iceberg, single piece",,count,7.50,SR,2024-08-19,https://www.sharbatly.club
"Lettuce, Romaine",,1 kg Bunch,7.50,SR,2024-08-19,https://www.sharbatly.club
"Melon Sweet local, single piece",,count,12.50,SR,2024-08-19,https://www.sharbatly.club
"Peppers, Capsicum Green",,1 kg Pack,9.95,SR,2024-08-19,https://www.sharbatly.club
Rambutan,,0.5 kg Pack,26.50,SR,2024-08-19,https://www.sharbatly.club
"Tomatoes, Cherry Plum",,0.25 kg Pack,9.95,SR,2024-08-19,https://www.sharbatly.club
"Tomato , Round",,1 kg Pack,7.50,SR,2024-08-19,https://www.sharbatly.club
Coriander,,0.1 kg Bunch,1.99,SR,2024-08-19,https://www.sharbatly.club
"Coconut, brown Husked, Single Piece",,count,3.50,SR,2024-08-19,https://www.sharbatly.club
Cucumbers,,1 kg Pack,6.50,SR,2024-08-19,https://www.sharbatly.club
"Cabbage Red, Single Piece",,count,7.50,SR,2024-08-19,https://www.sharbatly.club
"Cabbage White, Single Piece",5.50,count,3.95,SR,2024-08-19,https://www.sharbatly.club
"Carrots, medium",,1 kg Bag,7.95,SR,2024-08-19,https://www.sharbatly.club
"Beans, Bobby beans",,0.5 Kg Pack,7.50,SR,2024-08-19,https://www.sharbatly.club
"Bananas, Sharbatly",,1 kg Bunch,6.95,SR,2024-08-19,https://www.sharbatly.club
"Avocado, Hass, single piece",,count,7.50,SR,2024-08-19,https://www.sharbatly.club
"Asparagus, Green",,0.45 kg Bunch,38.50,SR,2024-08-19,https://www.sharbatly.club
